PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,AC50_Qualifier,AC50_uM,pAC50_M,ACTIVITY_OUTCOME_TEST1,ACTIVITY_SCORE_TEST1,ASSAYDATA_COMMENT_TEST1,AC50_Qualifier_TEST1,AC50_uM_TEST1,pAC50_M_TEST1,Hill_Slope_TEST1,S0_(%)_TEST1,Sinf_(%)_TEST1,Num_Points_TEST1,Max_Activity_(%)_TEST1,Max_Activity_Conc_uM_TEST1,Max_Concentration_uM_TEST1,Activity_at_0.000001uM_(%)_TEST1,Activity_at_0.000002uM_(%)_TEST1,Activity_at_0.000004uM_(%)_TEST1,Activity_at_0.000010uM_(%)_TEST1,Activity_at_0.000015uM_(%)_TEST1,Activity_at_0.000019uM_(%)_TEST1,Activity_at_0.000030uM_(%)_TEST1,Activity_at_0.000038uM_(%)_TEST1,Activity_at_0.000060uM_(%)_TEST1,Activity_at_0.000075uM_(%)_TEST1,Activity_at_0.00012uM_(%)_TEST1,Activity_at_0.00015uM_(%)_TEST1,Activity_at_0.000235uM_(%)_TEST1,Activity_at_0.0003uM_(%)_TEST1,Activity_at_0.0005uM_(%)_TEST1,Activity_at_0.0006uM_(%)_TEST1,Activity_at_0.001uM_(%)_TEST1,Activity_at_0.0012uM_(%)_TEST1,Activity_at_0.00195uM_(%)_TEST1,Activity_at_0.00235uM_(%)_TEST1,Activity_at_0.0038uM_(%)_TEST1,Activity_at_0.005uM_(%)_TEST1,Activity_at_0.008uM_(%)_TEST1,Activity_at_0.01uM_(%)_TEST1,Activity_at_0.016uM_(%)_TEST1,Activity_at_0.0195uM_(%)_TEST1,Activity_at_0.038uM_(%)_TEST1,Activity_at_0.06uM_(%)_TEST1,Activity_at_0.08uM_(%)_TEST1,Activity_at_0.12uM_(%)_TEST1,Activity_at_0.16uM_(%)_TEST1,Activity_at_0.26uM_(%)_TEST1,Activity_at_0.3uM_(%)_TEST1,Activity_at_0.5uM_(%)_TEST1,Activity_at_0.6uM_(%)_TEST1,Activity_at_1.2uM_(%)_TEST1,Activity_at_2.6uM_(%)_TEST1,Activity_at_5uM_(%)_TEST1,Activity_at_19.5uM_(%)_TEST1,ACTIVITY_OUTCOME_TEST2,ACTIVITY_SCORE_TEST2,ASSAYDATA_COMMENT_TEST2,AC50_Qualifier_TEST2,AC50_uM_TEST2,pAC50_M_TEST2,Hill_Slope_TEST2,S0_(%)_TEST2,Sinf_(%)_TEST2,Num_Points_TEST2,Max_Activity_(%)_TEST2,Max_Activity_Conc_uM_TEST2,Max_Concentration_uM_TEST2,Activity_at_0.000001uM_(%)_TEST2,Activity_at_0.000002uM_(%)_TEST2,Activity_at_0.000004uM_(%)_TEST2,Activity_at_0.000008uM_(%)_TEST2,Activity_at_0.000010uM_(%)_TEST2,Activity_at_0.000015uM_(%)_TEST2,Activity_at_0.000019uM_(%)_TEST2,Activity_at_0.000030uM_(%)_TEST2,Activity_at_0.000038uM_(%)_TEST2,Activity_at_0.000060uM_(%)_TEST2,Activity_at_0.000075uM_(%)_TEST2,Activity_at_0.00012uM_(%)_TEST2,Activity_at_0.00015uM_(%)_TEST2,Activity_at_0.000235uM_(%)_TEST2,Activity_at_0.0003uM_(%)_TEST2,Activity_at_0.0005uM_(%)_TEST2,Activity_at_0.0006uM_(%)_TEST2,Activity_at_0.001uM_(%)_TEST2,Activity_at_0.0012uM_(%)_TEST2,Activity_at_0.00195uM_(%)_TEST2,Activity_at_0.00235uM_(%)_TEST2,Activity_at_0.0038uM_(%)_TEST2,Activity_at_0.005uM_(%)_TEST2,Activity_at_0.008uM_(%)_TEST2,Activity_at_0.01uM_(%)_TEST2,Activity_at_0.016uM_(%)_TEST2,Activity_at_0.0195uM_(%)_TEST2,Activity_at_0.03uM_(%)_TEST2,Activity_at_0.038uM_(%)_TEST2,Activity_at_0.06uM_(%)_TEST2,Activity_at_0.08uM_(%)_TEST2,Activity_at_0.12uM_(%)_TEST2,Activity_at_0.16uM_(%)_TEST2,Activity_at_0.26uM_(%)_TEST2,Activity_at_0.3uM_(%)_TEST2,Activity_at_0.5uM_(%)_TEST2,Activity_at_0.6uM_(%)_TEST2,Activity_at_1.2uM_(%)_TEST2,Activity_at_2.6uM_(%)_TEST2,Activity_at_5uM_(%)_TEST2,Activity_at_19.5uM_(%)_TEST2
RESULT_TYPE,,,,,,,STRING,FLOAT,STRING,INTEGER,INTEGER,STRING,STRING,FLOAT,STRING,FLOAT,FLOAT,FLOAT,INTEGER,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,INTEGER,INTEGER,STRING,STRING,FLOAT,STRING,FLOAT,FLOAT,FLOAT,INTEGER,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,"'>','=', or '<'",The concentration at which activity reaches 50% of the maximum,Equal to -1*log10(AC50),The PubChem Activity Outcome for the subset of data included in the indicated Test number.,The PubChem Activity Score for the subset of data included in the indicated Test number.,Comments relevant to the subset of data included in the indicated Test number.,"'>','=', or '<'",The concentration at which activity reaches 50% of the maximum,Equal to -1*log10(AC50),The slope at AC50,The fitted activity value at zero concentration,The fitted activity value at infinite concentration,The number of data points used to generate the plot,"The maximum activity value observed, based on mean of replicates per concentration",The concentration at which the maximum activity is observed,Maximum valid test concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The PubChem Activity Outcome for the subset of data included in the indicated Test number.,The PubChem Activity Score for the subset of data included in the indicated Test number.,Comments relevant to the subset of data included in the indicated Test number.,"'>','=', or '<'",The concentration at which activity reaches 50% of the maximum,Equal to -1*log10(AC50),The slope at AC50,The fitted activity value at zero concentration,The fitted activity value at infinite concentration,The number of data points used to generate the plot,"The maximum activity value observed, based on mean of replicates per concentration",The concentration at which the maximum activity is observed,Maximum valid test concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration
RESULT_UNIT,,,,,,,NONE,MICROMOLAR,NONE,NONE,NONE,NONE,NONE,MICROMOLAR,NONE,NONE,PERCENT,PERCENT,NONE,PERCENT,MICROMOLAR,MICROMOLAR,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE,NONE,NONE,NONE,MICROMOLAR,NONE,NONE,PERCENT,PERCENT,NONE,PERCENT,MICROMOLAR,MICROMOLAR,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,,,,,,,,,,,1e-06,2e-06,4e-06,1e-05,1.5e-05,1.9e-05,3e-05,3.8e-05,6e-05,7.5e-05,0.00012,0.00015,0.000235,0.0003,0.0005,0.0006,0.001,0.0012,0.00195,0.00235,0.0038,0.005,0.008,0.01,0.016,0.0195,0.038,0.06,0.08,0.12,0.16,0.26,0.3,0.5,0.6,1.2,2.6,5,19.5,,,,,,,,,,,,,,1e-06,2e-06,4e-06,8e-06,1e-05,1.5e-05,1.9e-05,3e-05,3.8e-05,6e-05,7.5e-05,0.00012,0.00015,0.000235,0.0003,0.0005,0.0006,0.001,0.0012,0.00195,0.00235,0.0038,0.005,0.008,0.01,0.016,0.0195,0.03,0.038,0.06,0.08,0.12,0.16,0.26,0.3,0.5,0.6,1.2,2.6,5,19.5
1,99245574,5303,Active,62,,,=,0.598,6.223,2,63,,=,0.552,6.258,4,11.943,-91.581,109,-89.858,19.5,19.5,2.697,12.852,-1.749,-6.443,15.286,-3.552,19.208,2.445,21.996,5.882,6.717,14.276,4.166,1.455,16.305,-3.575,22.366,9.405,10.345,17.24,16.451,7.597,13.682,21.914,14.497,25.861,-0.185,24.238,6.487,15.531,18.667,43.205,39.232,-37.132,-55.889,-80.747,-82.757,-85.381,-93.135,2,62,,=,0.644,6.191,1.43,7.379,-56.897,105,-57.334,19.5,19.5,13.778,10.103,1.443,2.971,-0.517,1.923,-4.742,15.052,17.211,5.856,0.841,-1.65,-0.413,1.786,9.691,9.24,5.101,12.796,-5.979,12.054,5.273,8.502,3.093,20,14.732,19.634,14.375,-1.339,5.309,25.773,-0.843,14.757,-7.216,-3.571,-19.91,-7.728,-32.015,-38.424,-44.055,-51.065,-57.558
2,115950048,2536883,Active,108,,,<,1.5e-05,10.824,2,108,,=,1.5e-05,10.824,0.5,0,-84.753,40,-91.715,5,5,,,,-33.788,,-46.667,,-58.058,,-61.106,,-69.175,,-70.482,,-67.35,,-69.455,,-72.993,,-68.017,,-76.248,,-75.175,-82.041,,-82.577,,-87.36,,-87.414,,-88.226,-91.142,-91.07,-91.715,,2,110,,<,1e-05,11.000,0.5,0,-61.85,40,-65.854,1.2,5,,,,,-36.328,,-36.893,,-43.3,,-48.436,,-49.329,,-54.001,,-51.255,,-51.992,,-57.592,,-57.128,,-56.888,,-58.365,,-57.936,,-61.611,,-64.6,,-63.484,,-63.501,-65.854,-64.583,-64.806,
3,115950049,8030390,Active,80,,,=,0.0103,7.989,2,77,,=,0.0195,7.709,0.5,5.276,-87.215,40,-86.102,5,5,,,,-4.277,,7.822,,5.513,,-4.766,,1.655,,3.227,,-11.96,,-8.183,,-23.496,,-38.566,,-41.437,,-40.387,-43.277,,-50.877,,-56.562,,-66.497,,-69.432,-77.794,-83.276,-86.102,,2,90,,=,0.00103,8.987,0.5,15.464,-60.375,39,-64.171,5,5,,,,,17.385,,5.016,,-9.189,,0.088,,-0.206,,-10.683,,-14.599,,-29.217,,-33.286,,-34.816,,-43.885,,-40.811,,-43.921,,-51.512,,-49.416,,-54.415,,-57.489,-62.625,-61.921,-64.171,
4,115950050,5161265,Active,82,,,=,0.00598,8.223,2,81,,=,0.00856,8.067,1.338,-7.551,-78.46,38,-84.61,5,5,,,,-6.888,,-9.703,,-3.953,,-19.409,,-12.163,,-4.684,,-6.794,,-11.275,,-14.471,,-33.386,,-47.55,,-62.246,-66.872,,-73.088,,-75.157,,-76.099,,-76.762,-78.867,-79.679,-84.61,,2,85,,=,0.0034,8.469,1.016,-2.442,-59.929,39,-63.21,5,5,,,,,1.633,,-5.668,,-10.238,,-1.961,,10.268,,-8.64,,-15.321,,-11.094,,-31.794,,-31.466,,-49.055,,-51.287,,-57.472,,-53.933,,-55.995,,-59.069,,-59.515,-60.185,-60.391,-63.21,
5,115950051,5393549,Active,55,,,=,3,5.523,2,62,,=,0.591,6.229,0.768,12.166,-100,35,-80.323,5,5,,,,4.679,,10.833,,17.175,,23.845,,6.811,,5.513,,25.253,,15.358,,-2.945,,20.487,,4.349,,-4.251,9.939,,0.171,,-20.887,,-33.742,,-50.246,-52.915,-73.232,-80.323,,2,53,,=,5.41,5.267,0.795,4.008,-100,39,-44.672,5,5,,,,,-5.961,,17.533,,1.202,,-0.135,,4.912,,0.909,,-2.165,,6.392,,4.554,,1.083,,4.605,,5.396,,5.413,,11.871,,-0.722,,-10.507,,-16.795,-17.856,-34.451,-44.672,
